นิติบุคคลจัดตั้งเดือนมกราคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,วันที่จดทะเบียน," ทุนจดทะเบียน
 (บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
54,0835558000352,บจ.เทนนิส คอนซัลติ้ง จำกัด,9/1/2558," 2,000,000 ",ประกอบกิจการให้คำปรึกษาด้านกีฬาเทนนิส,10/24 หมู่ที่ 10  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
55,0835558000433,บจ.ทู แอล ซี จำกัด,13/1/2558," 2,000,000 ",ประกอบกิจการผลิตเฟอร์นิเจอร์ อุปกรณ์ตกแต่งจากโลหะ และผลิตภัณฑ์จากอะลูมิเนียม,26/1 หมู่ที่ 4  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
56,0835558000549,บจ.ฉลอง เอ็ดดูเคชั่น เซอร์วิส จำกัด,16/1/2558," 2,000,000 ",ประกอบกิจการ สถานที่รับเลี้ยงเด็ก,34/4 หมู่ที่ 7  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
57,0835558000701,บจ.สคูบ้า เวิร์ล ภูเก็ต จำกัด,21/1/2558," 2,000,000 ",ประกอบกิจการแนะนำเทคนิคการดำน้ำ และกีฬาทางน้ำทุกชนิด,69/379 หมู่ที่ 1  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
58,0835558000859,บจ.ภูเก็ต คาลิปโซ จำกัด,23/1/2558," 2,000,000 ",ประกอบกิจการการศึกษาด้านกีฬาและนันทนาการ แนะนำการใช้อุปกรณ์ดำน้ำ,27/213 หมู่ที่ 8  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
59,0835558000867,บจ.อเมซิ่ง ภูเก็ต ทราเวล จำกัด,26/1/2558," 2,000,000 ",ประกอบกิจการ ซื้อ ขาย รถยนต์ และยานพาหนะอื่น เช่า ให้เช่า รวมทั้งบริการอื่นที่เกี่ยวข้องกับยานพาหนะ,50/26 หมู่ที่ 4  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
60,0835558000948,บจ.ฟิตเนชั่น ภูเก็ต จำกัด,27/1/2558," 2,000,000 ",ประกอบกิจการให้คำปรึกษาด้านเทคนิคการออกกำลังกายและรับทำการฝึกสอนการออกกำลังกาย,8/12 หมู่ที่ 1  ต.ราไวย์ อ.เมืองภูเก็ต จ.ภูเก็ต 83130
61,0835558001090,บจ.วีวี่ บังกะโลว์ รีสอร์ท จำกัด,29/1/2558," 2,000,000 ",ประกอบกิจการโรงแรม รีสอร์ท ห้องชุด และห้องเช่า การจัดที่พักแรมแบบให้เช่าเป็นรายวันหรือรายสัปดาห์,13/43 หมู่ที่ 1  ต.ราไวย์ อ.เมืองภูเก็ต จ.ภูเก็ต 83130
62,0835558001162,บจ.อีโวลูชั่น บล็อกเกอร์ จำกัด,30/1/2558," 2,000,000 ",การให้คำปรึกษาในเรื่องชนิดและลักษณะการใช้งานของฮาร์ดแวร์ ทั้งที่มีหรือไม่มีซอฟต์แวร์,39/27 หมู่ที่ 1  ต.ราไวย์ อ.เมืองภูเก็ต จ.ภูเก็ต 83130
63,0835558001189,บจ.ลี ฟิชชิ่ง จำกัด,30/1/2558," 2,000,000 ",ประกอบกิจการให้บริการนำเที่ยว,161/51 หมู่ที่ 10  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
64,0835558000298,บจ.จิงเจอร์เฮ้าส์ จำกัด,9/1/2558," 2,000,000 ",ประกอบกิจการให้เช่าห้องพัก,227/2 ถนนราษฏร์อุทิศ 200 ปี  ต.กมลา อ.กะทู้ จ.ภูเก็ต 83150
65,0835558000417,บจ.อดัม โยคะ จำกัด,12/1/2558," 2,000,000 ",ประกอบกิจการบริการฝึกอบรมโยคะ,118 ถนนพระบารมี  ต.ป่าตอง อ.กะทู้ จ.ภูเก็ต 83150
66,0835558000581,บจ.รายาน พาราไดซ์ จำกัด,16/1/2558," 2,000,000 ",ประกอบกิจการจำหน่ายอาหาร เบเกอรี่ และเครื่องดื่ม,64/43 ถนนทวีวงศ์  ต.ป่าตอง อ.กะทู้ จ.ภูเก็ต 83150
67,0835558000689,บจ.ป. พัฒนา (ไสน้ำเย็น) จำกัด,21/1/2558," 2,000,000 ",ประกอบกิจการซื้อ ขาย ให้เช่า ขายฝาก อสังหาริมทรัพย์ทุกประเภท,91/22 ถนนราษฏร์อุทิศ 200 ปี  ต.ป่าตอง อ.กะทู้ จ.ภูเก็ต 83150
68,0835558001031,บจ.สเตชั่น มอเตอร์ไบค์ จำกัด,28/1/2558," 2,000,000 ",ประกอบธุรกิจให้เช่ารถจักรยานยนต์,209/2 ถนนนาใน  ต.ป่าตอง อ.กะทู้ จ.ภูเก็ต 83150
69,0833558000024,หจ.ฟรุต แอนด์ ฟูดส์ (ไทยแลนด์),9/1/2558," 1,000,000 ",ประกอบกิจการค้าอาหารแปรูปและผลไม้ ทั้งในประเทศและต่างประเทศ,78/96 หมู่ที่ 2  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
70,0833558000059,หจ.ธีราธร คอนสตรัคชั่น,15/1/2558," 1,000,000 ",รับเหมาก่อสร้างอาคารที่พักอาศัย,35/57 หมู่บ้านเจ้าฟ้าการ์เด้นท์โฮม 3 หมู่ที่ 2 ถนนเทพกระษัตรี  ต.เกาะแก้ว อ.เมืองภูเก็ต จ.ภูเก็ต 83000
71,0833558000121,หจ.ทรัพย์มากจริง,22/1/2558," 1,000,000 ",ร้านสะดวกซื้อมินิมาร์ท,9/204 ถนนศักดิเดช  ต.ตลาดเหนือ อ.เมืองภูเก็ต จ.ภูเก็ต 83000
72,0833558000130,หจ.ธนภัทรรุ่งเรืองกิจ,22/1/2558," 1,000,000 ",ร้านสะดวกซื้อ/มินิมาร์ท,9/204 ถนนศักดิเดช  ต.ตลาดเหนือ อ.เมืองภูเก็ต จ.ภูเก็ต 83000
73,0833558000148,หจ.บ้านหมีสองตัว,22/1/2558," 1,000,000 ",ประกอบกิจการให้เช่าห้องพัก,31/7 ถนนเจ้าฟ้า  ต.ตลาดเหนือ อ.เมืองภูเก็ต จ.ภูเก็ต 83000
74,0833558000172,หจ.เค บี เค,26/1/2558," 1,000,000 ",ประกอบกิจการจำหน่ายพร้อมติดตั้งเครื่องปรับอากาศทุกชนิด,54/7 หมู่ที่ 1  ต.เกาะแก้ว อ.เมืองภูเก็ต จ.ภูเก็ต 83000
75,0835558000131,บจ.วันเฮลท์แคร์ภูเก็ต จำกัด,6/1/2558," 1,000,000 ",บริการสถานพยาบาล ด้านทันตกรรม และรับจ้างทำฟันปลอม วัสดุอุปกรณ์ เครื่องมือ เครื่องใช้,20/131-4 โบ๊ทลากูน ปาร์คพลาซ่า F ถนนเทพกระษัตรี  ต.เกาะแก้ว อ.เมืองภูเก็ต จ.ภูเก็ต 83000
76,0835558000140,บจ.ไอ.ที.เอส อินเตอร์เนชั่นแนล อินทีเรีย โซลูชั่น จำกัด,6/1/2558," 1,000,000 ",ประกอบกิจการรับจ้าง ออกแบบ ตกแต่งภายใน,89/591 หมู่ที่ 6 ซอย7 ถนนเมืองทอง-บ่อแร่  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
77,0835558000174,บจ.ภูเก็ตนิวไทยเอเซีย จำกัด,7/1/2558," 1,000,000 ",ประกอบกิจการนำเที่ยว รวมทั้งธุรกิจที่เกี่ยวข้องกับการนำเที่ยวทุกชนิด,97/465 หมู่ที่ 4  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
78,0835558000191,บจ.ชมณ์อัยยา จำกัด,7/1/2558," 1,000,000 ",บริการอบสมุนไพร นวด สปา,1/1 หมู่ที่ 3  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
79,0835558000204,บจ.สยามทำมานอน จำกัด,7/1/2558," 1,000,000 ",ประกอบกิจการผลิตและจำหน่ายเครื่องนอนทุกชนิด,20/30 หมู่ที่ 7  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
80,0835558000328,บจ.ภูเก็ตสมายล์ทราเวล จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการให้บริการ ให้เช่า รถขนส่ง รถตู้ เรือ รวมทั้งธุรกิจอื่นที่เกี่ยวข้อง,5/217 ถนนเจ้าฟ้า  ต.ตลาดเหนือ อ.เมืองภูเก็ต จ.ภูเก็ต 83000
81,0835558000379,บจ.ภูเก็ตอมรภัณฑ์ จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการจำหน่ายอาหารและเครื่องดื่ม,19/34 หมู่บ้านปรางทอง หมู่ที่ 3 ถนนขวาง  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
82,0835558000395,บจ.แพม พร็อพเพอตี้ ภูเก็ต จำกัด,9/1/2558," 1,000,000 ",กิจกรรมของตัวแทนและนายหน้าอสังหาริมทรัพย์โดยได้รับ ค่าตอบแทนหรือตามสัญญาจ้าง,125/224 หมู่ที่ 5  ต.รัษฎา อ.เมืองภูเก็ต จ.ภูเก็ต 83000
83,0835558000506,บจ.โบศรี เซอร์วิส จำกัด,15/1/2558," 1,000,000 ",ประกอบกิจการให้บริการดำเนินพิธีการศุลกากร นำเข้า-ส่งออก,35/359 หมู่ที่ 2  ต.เกาะแก้ว อ.เมืองภูเก็ต จ.ภูเก็ต 83000
84,0835558000522,บจ.อีโค่ อาร์คิเทค จำกัด,15/1/2558," 1,000,000 ",บริการออกแบบสถาปัตยกรรมและตกแต่งภายในอาคาร,6 ซอยประยูร 2/2 ถนนเยาวราช  ต.ตลาดใหญ่ อ.เมืองภูเก็ต จ.ภูเก็ต 83000
85,0835558000531,บจ.เอซีดี ซีซีทีวี ภูเก็ต จำกัด,15/1/2558," 1,000,000 ",จำหน่ายกล้องวงจรปิด อุปกรณ์รักษาความปลอดภัย,92/41 หมู่ที่ 2  ต.เกาะแก้ว อ.เมืองภูเก็ต จ.ภูเก็ต 83000
86,0835558000565,บจ.ภูเก็ต ธรรญญา ทัวร์ จำกัด,16/1/2558," 1,000,000 ",ธุรกิจนำเที่ยว,30/13 หมู่ที่ 3  ต.รัษฎา อ.เมืองภูเก็ต จ.ภูเก็ต 83000
87,0835558000590,บจ.ไทยเฟรชฟาร์ม จำกัด,16/1/2558," 1,000,000 ",ประกอบกิจการค้า ผัก ผลไม้ อาหารแห้ง อาหารสด อาหารสำเร็จรูป สินค้าอุปโภค และบริโภคทุกชนิด,47 ถนนบางกอก  ต.ตลาดเหนือ อ.เมืองภูเก็ต จ.ภูเก็ต 83000
88,0835558000603,บจ.เมย์ เคอร์เทน แอนด์ ไบลนด์ จำกัด,16/1/2558," 1,000,000 ",ประกอบกิจการจำหน่ายผ้าม่านและอุปกรณ์ติดตั้งผ้าม่านทุกชนิดผลิตและจำหน่ายม่านม้วนพร้อมติดตั้ง,92/26-27 หมู่ที่ 2  ต.เกาะแก้ว อ.เมืองภูเก็ต จ.ภูเก็ต 83000
89,0835558000760,บจ.วันเพ็ญ ฟู้ดส์ เซอร์วิส จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการค้า อาหารแปรรูป และอาหารแช่แข็ง,101/728 หมู่ที่ 6  ต.รัษฎา อ.เมืองภูเก็ต จ.ภูเก็ต 83000
90,0835558000794,บจ.เอ็นจอย ฮอสปิทาลิตี้ จำกัด,22/1/2558," 1,000,000 ",โรงแรม,133 ถนนสตูล  ต.ตลาดเหนือ อ.เมืองภูเก็ต จ.ภูเก็ต 83000
91,0835558000883,บจ.พุทธคุณ จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการจำหน่าย สินค้าอุปโภค บริโภค เวชภัณฑ์ ของฝาก และของที่ระลึก,80/7 หมู่ที่ 3  ต.รัษฎา อ.เมืองภูเก็ต จ.ภูเก็ต 83000
92,0835558000956,บจ.เจเค แมนชั่น ภูเก็ต จำกัด,27/1/2558," 1,000,000 ",ประกอบกิจการบริการห้องพัก อพาร์ทเม้นท์ แมนชั่น ห้องเช่า,8/16 หมู่ที่ 3  ต.รัษฎา อ.เมืองภูเก็ต จ.ภูเก็ต 83000
93,0835558000964,บจ.เมอร์เมด เจมส์ จำกัด,27/1/2558," 1,000,000 ",ประกอบกิจการค้า ทอง นาก เงิน เพชร พลอย และอัญมณีอื่น รวมทั้งวัตถุทำเทียมสิ่งดังกล่าว,40/24 หมู่ที่ 5 ถนนวิชิต  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
94,0835558000999,บจ.รุจาภา บิสซิเนส จำกัด,28/1/2558," 1,000,000 ",ประกอบกิจการบริการรับทำวีซ๋า ต่อหนังสือเดินทาง พิสูจน์สัญชาติแรงงานต่างด้าว,89/54 หมู่ที่ 4  ต.เกาะแก้ว อ.เมืองภูเก็ต จ.ภูเก็ต 83000
95,0835558001120,บจ.โฟร์เอ็ม เซอร์วิส โซลูชั่น จำกัด,29/1/2558," 1,000,000 ",กิจการรับติดตั้งและซ่อมแซม ระบบกล้องวงจรปิด,13/13 หมู่ที่ 3  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
96,0835558001146,บจ.มอเก็น สโตร์ จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการค้าอาหารทะเลแช่แข็ง,4/22 ถนนศักดิเดช  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
97,0835558000425,บจ.กะรน เมเนจเมนท์ จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการให้บริการที่พัก ร้านอาหารและเครื่องดื่ม,526/30 ถนนปฏัก  ต.กะรน อ.เมืองภูเก็ต จ.ภูเก็ต 83100
98,0835558000450,บจ.เนเชอรัล สยาม จำกัด,13/1/2558," 1,000,000 ",ประกอบกิจการนวด สปา นวดแผนโบราณ บำรุงรักษาความงามและกิจกรรมที่คล้ายกัน,2/5 ซอยปฏัก 2/2  ต.กะรน อ.เมืองภูเก็ต จ.ภูเก็ต 83100
99,0833558000067,หจ.นัมเบอร์เอททัวร์,16/1/2558," 1,000,000 ",ประกอบกิจการ ธุรกิจนำเที่ยว(เมื่อได้รับอนุญาตจากหน่วยงานที่เกี่ยวข้อง),258/22 หมู่บ้านภูเก็ตเจริญสุข หมู่ที่ 3 ถนนเทพกษัตรีย์  ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต 83110
100,0833558000156,หจ.เจ.พี พูลส์ ซัพพลาย,23/1/2558," 1,000,000 ",จำหน่ายเคมีภัณฑ์และอุปกรณ์สระว่ายน้ำ,225/9 หมู่ที่ 8  ต.ป่าคลอก อ.ถลาง จ.ภูเก็ต 83110
101,0835558000247,บจ.ทู เฟรนด์ เซอร์วิส จำกัด,8/1/2558," 1,000,000 ",การบริหารดูแลจัดสวนและบำรุงรักษาภูมิทัศน์ การปลูกต้นไม้ การออกแบบ ตกแต่ง ดูแลรักษาต้นไม้,187/1 หมู่ที่ 5  ต.เชิงทะเล อ.ถลาง จ.ภูเก็ต 83110
102,0835558000361,บจ.เจนท์ เดคอร์ จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการเกี่ยวกับพัฒนาอสังหาริมทรัพย์ทุกประเภท,121/4 หมู่ที่ 5  ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต 83110
103,0835558000387,บจ.ภูเก็ตพร็อพเพอร์ตี้ เพอร์เฟค จำกัด,9/1/2558," 1,000,000 ",กิจการของตัวแทนและนายหน้าอสังหาริมทรัพย์โดยได้รับ ค่าตอบแทนหรือตามสัญญาจ้าง,54/186 หมู่ที่ 1  ต.ป่าคลอก อ.ถลาง จ.ภูเก็ต 83110
104,0835558000697,บจ.กรีน การ์เด้นท์ เซอร์วิส จำกัด,21/1/2558," 1,000,000 ",ประกอบกิจการจำหน่ายต้นไม้ รับออกแบบตกแต่งสวน,134/16 หมู่ที่ 4  ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต 83110
105,0835558000743,บจ.ควอลิตี้ คอนสตรัคชั่น แมนเนจเม้นท์ จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการรับบริหารงานก่อสร้างทุกประเภท รวมทั้งการออกแบบ,22/151 หมู่ที่ 8  ต.ป่าคลอก อ.ถลาง จ.ภูเก็ต 83110
106,0835558000751,บจ.ภูเก็ต วิลล่า เรนทอล แอนด์ เซอร์วิส จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการให้บริการ ดูแล ทำความสะอาดภายในวิลล่า บ้านพัก อพาร์ตเม้นท์ คอนโด,89/69 หมู่ที่ 3  ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต 83110
107,0835558000786,บจ.เค บิวดิ้ง จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ และงานก่อสร้างอย่างอื่นทุกชนิด,118/32 หมู่ที่ 1  ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต 83110
108,0835558000808,บจ.หทัยมาศ คอนสตรัคชั่น จำกัด,23/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,188/42 หมู่ที่ 4  ต.เทพกระษัตรี อ.ถลาง จ.ภูเก็ต 83110
109,0835558000875,บจ.ซีเอช.ดีไซน์ แอนด์ คอนสตรัคชั่น จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการตัวแทน และนายหน้า ซื้อ ขาย ให้เช่า อสังหาริมทรัพย์โดยได้รับค่าตอบแทน,200/117 หมู่ที่ 4  ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต 83110
110,0835558001081,บจ.ภูเก็ต อินฟินิตี้ จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจการค้า เช่า ให้เช่า อสังหาริมทรัพย์ ที่ดิน,22/24 หมู่ที่ 8  ต.ป่าคลอก อ.ถลาง จ.ภูเก็ต 83110
111,0835558000018,บจ.เอ็กซ์พีเรียนส์ไทย จำกัด,5/1/2558," 1,000,000 ",การขนส่งผู้โดยสารทางทะเลและตามแนวชายฝั่งทะเลโดยเรือท่องเที่ยวหรือเรือโดยสารทัศนาจรขนาด,32/67 หมู่ที่ 6  ต.กะทู้ อ.กะทู้ จ.ภูเก็ต 83120
112,0835558000468,บจ.ภูเก็ต เอเยนซี แอนด์ มีเดีย จำกัด,13/1/2558," 1,000,000 ",ประกอบกิจการผลิตรายการวิทยุและโทรทัศน์ และออกอากาศทางวิทยุกระจายเสียง,72/2 หมู่ที่ 4  ต.กะทู้ อ.กะทู้ จ.ภูเก็ต 83120
113,0835558000824,บจ.น้ำดื่ม นาโม จำกัด,23/1/2558," 1,000,000 ",ประกอบกิจการผลิตน้ำดื่มบรรจุขวดจำหน่าย,43/42 หมู่ที่ 6  ต.กะทู้ อ.กะทู้ จ.ภูเก็ต 83120
114,0835558000841,บจ.ภูเก็ต เร้นท์ แอนด์ บาย จำกัด,23/1/2558," 1,000,000 ",ประกอบกิจการเป็นตัวแทนและนายหน้าในการซื้อการขาย การเช่า สังหาริมทรัพย์ และอสังหาริมทรัพย์,91/43 หมู่ที่ 7  ต.กะทู้ อ.กะทู้ จ.ภูเก็ต 83120
115,0835558001138,บจ.เอลฟิแนด สตูดิโอ จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการวางแผนและการออกแบบพื้นที่ภายในตามความต้องการของลูกค้า,53/8 หมู่ที่ 1  ต.กะทู้ อ.กะทู้ จ.ภูเก็ต 83120
116,0833558000041,หจ.รับดูแลสระว่ายน้ำภูเก็ต,15/1/2558," 1,000,000 ",ประกอบกิจการรับดูแลบำรุงรักษาทำความสะอาดสระว่ายน้ำ และงานระบบสระว่ายน้ำ,17 หมู่ที่ 6  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
117,0835558000255,บจ.ยูนิค ท๊อป ลอนดรี้ จำกัด,8/1/2558," 1,000,000 ",บริการซัก อบ รีด,71/71 หมู่ที่ 4  ต.ราไวย์ อ.เมืองภูเก็ต จ.ภูเก็ต 83130
118,0835558000557,บจ.พระใหญ่  ช้างไทย จำกัด,16/1/2558," 1,000,000 ",ประกอบกิจการนำเที่ยว รวมทั้งธุรกิจที่เกี่ยวข้องกับการนำเที่ยวทุกชนิด,93/17 หมู่ที่ 10 ถนนเจ้าฟ้า  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
119,0835558000832,บจ.ภูสยาม999 จำกัด,23/1/2558," 1,000,000 ",ประกอบกิจการจำหน่ายและติดตั้งระบบไฟฟ้า,66/11 หมู่ที่ 1  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
120,0835558000905,บจ.ควีน เพทพลาสติก จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการการผลิตและจำหน่ายผลิตภัณฑ์เกี่ยวกับพลาสติก,50/47 หมู่ที่ 7  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
121,0835558001073,บจ.คิทเช่น ดีไซน์ แอนด์ คอนซัลแทนส์ จำกัด,29/1/2558," 1,000,000 ","จำหน่ายวัสดุ อุปกรณ์เครื่องครัว เครื่องใช้ในร้านอาหาร รับติดตั้งระบบแก๊ส งานโครงเหล็ก,สแตนเลส",60/1 หมู่ที่ 7  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
122,0835558000310,บจ.ออลนิวแอดเวนเจอร์ จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการธุรกิจนำเที่ยว,63/1 หมู่ที่ 5  ต.ไม้ขาว อ.ถลาง จ.ภูเก็ต 83140
123,0835558000221,บจ.ไตรตรัง ทัวร์ แอนด์ ทราเวล จำกัด,8/1/2558," 1,000,000 ",ประกอบกิจการมีออฟฟิศขายทัวร์และประกอบกิจการนำเที่ยวเชิงอนุรักษ์,83/8 ถนนผังเมืองสาย ก  ต.ป่าตอง อ.กะทู้ จ.ภูเก็ต 83150
124,0835558000921,บจ.เรืองฤทธิ์ เฮ้าส์ จำกัด,26/1/2558," 1,000,000 ",ให้บริการรับเหมาก่อสร้าง,31/1 หมู่ที่ 6  ต.กมลา อ.กะทู้ จ.ภูเก็ต 83150
125,0833558000091,หจ.ช่อนวรัตน์,19/1/2558," 500,000 ",ประกอบกิจการ บริการทางด้านการแพทย์ และสุขภาพ,25/50 หมู่ที่ 3  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
126,0833558000199,หจ.รวมเพื่อนแอคเคาท์ แอนด์ ออดิท,29/1/2558," 500,000 ",ประกอบกิจการเกี่ยวกับบัญชีการทำบัญชีและการตรวจสอบบัญชี การให้คำปรึกษาด้านภาษี,50/16 ถนนแม่หลวน  ต.ตลาดเหนือ อ.เมืองภูเก็ต จ.ภูเก็ต 83000
127,0835558000093,บจ.ฮาลาล ฟู้ดส์ ภูเก็ต เทรดดิ้ง จำกัด,6/1/2558," 500,000 ",ประกอบกิจการประเภทเป็นตัวแทนจำหนาย ขายสินค้าอุปโภคและบริโภค,30/28 หมู่ที่ 2  ต.รัษฎา อ.เมืองภูเก็ต จ.ภูเก็ต 83000
128,0833558000016,หจ.บางโรงคอมพิวเตอร์,5/1/2558," 500,000 ",ให้บริการซ่อมแซมอุปกรณ์ไฟฟ้า อุปกรณ์คอมพิวเตอร์ และอุปกรณ์ต่อพ่วง,40/2 หมู่ที่ 3 ถนนป่าคลอก  ต.ป่าคลอก อ.ถลาง จ.ภูเก็ต 83110
129,0835558000263,บจ.มาวิญ การบัญชี จำกัด,8/1/2558," 500,000 ",ตัวแทนจำหน่ายโปรแกรมบัญชีสำเร็จรูป หรือ โปรแกรมทางอิเล็คทรอนิคส์อื่นๆ ที่เกี่ยวข้อง,9/13 หมู่ที่ 8  ต.ป่าคลอก อ.ถลาง จ.ภูเก็ต 83110
130,0835558000441,บจ.พีเอสเอส ภูเก็ต ซัพพลาย จำกัด,13/1/2558," 500,000 ",ขายปลีกวัสดุก่อสร้างอื่นๆ,74/7 หมู่ที่ 8  ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต 83110
131,0835558000611,บจ.อินเตอร์เนชั่นแนล บิซิเนส คอนซัลแทนส์ (ประเทศไทย) จำกัด,16/1/2558," 500,000 ",การบริการทางกฎหมาย บัญชี การทำบัญชีและการตรวจสอบบัญชี การให้คำปรึกษาทางธุรกิจและการจัดการ,200/130 หมู่ที่ 4  ต.ศรีสุนทร อ.ถลาง จ.ภูเก็ต 83110
132,0833558000113,หจ.ธนพรภูเก็ต อินเตอร์เทรดดิ้ง,21/1/2558," 300,000 ",ประกอบกิจการขายแบบพิมพ์ เครื่องพิมพ์ อุปกรณ์การพิมพ์ สิ่งพิมพ์ เครื่องใช้สำนักงาน,66/16 หมู่ที่ 1 ซอยตาเอียด  ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130
133,0833558000032,หจ.แฮปปี คอนเนอร์,9/1/2558," 200,000 ",ให้บริการสปา นวดไทย นวดเท้า และจำหน่ายผลิตภัณฑ์สปาทุกชนิด,15738 ต.ตลาดเหนือ อ.เมืองภูเก็ต จ.ภูเก็ต 83000
134,0833558000181,หจ.เอ็นทีดับบลิว โลจิสติกส์,27/1/2558," 200,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า และคนโดยสารทั้งทางบกทางน้ำ ทางอากาศ ทั้งภายในและภายนอก,150/1 หมู่ที่ 5  ต.รัษฎา อ.เมืองภูเก็ต จ.ภูเก็ต 83000
135,0833558000105,หจ.มาดาม บิสสิเนส,20/1/2558," 200,000 ",ผู้เช่าช่วงกิจการบ้านเช่า (พูลวิลล่า),81/72 ถนนไสยวน  ต.ราไวย์ อ.เมืองภูเก็ต จ.ภูเก็ต 83130
136,0833558000075,หจ.ภูเก็ต โฮเทล รูม,19/1/2558," 100,000 ",บริการรับจองห้องพักของโรงแรมต่างๆบริการรับจองทัวร์ต่างๆ,28/4 ถนนตะกั่วทุ่ง  ต.ตลาดใหญ่ อ.เมืองภูเก็ต จ.ภูเก็ต 83000
137,0833558000164,หจ.ใจกิจอนันต์,23/1/2558," 100,000 ",ประกอบกิจการบริการงานเอกสาร ทำบัญชี ที่ปรึกษา,37/205 หมู่ที่ 9 ซอยสุขสันต์ 3 ถนนเมืองทอง-เขาขาด  ต.วิชิต อ.เมืองภูเก็ต จ.ภูเก็ต 83000
1,0845558000824,บจ.เคแอล เอสเตท 2015 จำกัด,26/1/2558," 60,000,000 ",ประกอบกิจการรับซื้อ ขาย ขายฝาก ให้เช่า พัฒนาปรับปรุง อสังหาริมทรัพย์ทุกประเภท,144/6 หมู่ที่ 6  ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320
2,0845558000093,บจ.นำสุราษฎร์ จำกัด,5/1/2558," 10,000,000 ",ประกอบกิจการขนส่ง,106/7-8 หมู่ที่ 5  ต.บางกุ้ง อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000
3,0845558000930,บจ.คูโบต้า มิตรแท้สุราษฎร์ธานี จำกัด,28/1/2558," 10,000,000 ",ประกอบกิจการซื้อขายรถยนต์,88/1 หมู่ที่ 5  ต.มะลวน อ.พุนพิน จ.สุราษฎร์ธานี 84130
4,0845558000182,บจ.เค วัน พาราวู้ด จำกัด,6/1/2558," 5,000,000 ",ประกอบกิจการโรงเลื่อยไม้,58/2 หมู่ที่ 3  ต.หัวเตย อ.พุนพิน จ.สุราษฎร์ธานี 84130
